Invoice_ID,Entity,Type,Business_Unit,Amount_FCY,Currency,FX_Rate,Amount_USD,Functional_Currency,Transaction_Date,Due_Date,GL_Code
6EB8FA79,CA Corp,AR,Finance,20772.5,GBP,1.2555,26079.87,USD,2025-06-22,2025-07-13,4298
B6D8B5E4,CA Corp,AR,HR,23011.57,GBP,1.335,30720.45,USD,2024-06-30,2024-08-09,4701
D4043AC9,FR SAS,AR,Sales,20984.56,CAD,0.7851,16474.98,USD,2025-05-26,2025-07-26,4253
B764CE5C,UK PLC,Intercompany,IT,46369.36,CHF,1.1175,51817.76,USD,2024-08-22,2024-11-15,4702
7891383F,AU Pty,AR,Sales,39733.2,CHF,1.1108,44135.64,USD,2024-10-18,2025-02-08,4258
1B7A6F49,UK PLC,AR,Sales,12529.4,JPY,0.0067,83.95,USD,2024-02-06,2024-04-01,4219
5EA1D31D,CA Corp,Intercompany,HR,3891.74,CNY,0.1489,579.48,USD,2024-12-20,2025-02-15,4675
5E5B9975,FR SAS,Intercompany,Finance,227197.11,CAD,0.7683,174555.54,USD,2025-04-15,2025-06-29,4723
F3A72749,FR SAS,Intercompany,Sales,13984.0,USD,1.0,13984.0,USD,2024-03-26,2024-05-17,4713
40533E4F,AU Pty,Intercompany,Finance,27310.0,CHF,1.0643,29066.03,USD,2024-04-09,2024-05-05,4188
4CDBB370,UK PLC,Intercompany,IT,82015.49,GBP,1.2982,106472.51,USD,2024-01-25,2024-04-19,4823
2C55D4EC,FR SAS,Intercompany,Sales,59607.5,EUR,1.0506,62623.64,USD,2025-06-12,2025-09-08,4077
AA52DED3,CA Corp,AR,R&D,37480.88,EUR,1.1225,42072.29,USD,2025-06-17,2025-08-06,4535
96AAE356,DE GmbH,AR,HR,29466.6,CAD,0.8084,23820.8,USD,2024-10-18,2024-11-16,4426
10A40EC5,JP Ltd,AP,Sales,12763.48,CHF,1.0656,13600.76,USD,2024-07-09,2024-09-05,4556
F0841BD3,US Inc,Intercompany,Logistics,13916.31,EUR,1.1191,15573.74,USD,2025-03-11,2025-05-07,4368
7242FAC3,DE GmbH,Intercompany,Sales,53287.69,EUR,1.0898,58072.92,USD,2025-01-05,2025-01-28,4347
288DB9A2,AU Pty,AP,Finance,25576.36,AUD,0.7068,18077.37,USD,2024-07-18,2024-09-30,4026
6827402E,US Inc,AP,IT,9415.3,USD,1.0,9415.3,USD,2024-10-22,2024-11-27,4078
35F2253C,JP Ltd,Intercompany,IT,93650.6,USD,1.0,93650.6,USD,2024-10-21,2024-12-20,4938
99C2C74C,FR SAS,Intercompany,Logistics,4676.9,CAD,0.7483,3499.72,USD,2024-03-09,2024-06-30,4828
855D44C5,US Inc,AP,Logistics,11092.8,USD,1.0,11092.8,USD,2024-07-16,2024-08-21,4396
0CAFA034,DE GmbH,Intercompany,R&D,3967.63,GBP,1.3259,5260.68,USD,2024-04-08,2024-06-07,4411
1934597A,US Inc,AR,Manufacturing,21342.15,AUD,0.7358,15703.55,USD,2025-03-23,2025-06-29,4327
9CEB4F58,UK PLC,AP,R&D,705692.6,JPY,0.0073,5151.56,USD,2024-09-11,2024-12-08,4421
7514A14E,UK PLC,AP,Logistics,91378.03,CNY,0.1534,14017.39,USD,2024-02-28,2024-04-18,4867
FEFC07BD,JP Ltd,Intercompany,Manufacturing,2984.87,USD,1.0,2984.87,USD,2024-10-22,2025-01-04,4367
03F92133,FR SAS,Intercompany,HR,12881.64,CAD,0.789,10163.61,USD,2024-03-18,2024-04-27,4595
06289590,FR SAS,Intercompany,Logistics,12893.63,CNY,0.1411,1819.29,USD,2024-02-29,2024-04-05,4643
D66D3B9F,FR SAS,AP,Manufacturing,12918.08,CHF,1.0703,13826.22,USD,2024-08-15,2024-09-05,4164
05DB3F79,UK PLC,AR,HR,31250.6,JPY,0.0067,209.38,USD,2024-03-12,2024-04-09,4879
D2D12425,CA Corp,AP,Finance,25776.14,CNY,0.1534,3954.06,USD,2024-11-19,2025-02-24,4933
E9A9D3EB,AU Pty,Intercompany,HR,46515.05,JPY,0.007,325.61,USD,2024-06-21,2024-09-18,4107
CE02BCE7,FR SAS,Intercompany,IT,8862.27,CHF,1.1343,10052.47,USD,2025-06-23,2025-09-27,4385
D727C8AB,US Inc,AP,Sales,11899.51,GBP,1.284,15278.97,USD,2024-11-13,2025-01-07,4803
9AE87153,US Inc,AR,Sales,39034.81,EUR,1.1357,44331.83,USD,2024-03-23,2024-07-13,4850
022148DC,FR SAS,AP,IT,11539.18,JPY,0.0067,77.31,USD,2025-04-29,2025-05-24,4568
D37A7A8B,UK PLC,Intercompany,Manufacturing,166610.08,GBP,1.2874,214493.82,USD,2025-04-01,2025-06-14,4618
1CAE77CB,DE GmbH,AP,IT,73696.69,AUD,0.6538,48182.9,USD,2024-12-20,2025-01-29,4748
0C1C6432,US Inc,AP,Logistics,33215.48,JPY,0.0072,239.15,USD,2024-03-14,2024-06-13,4736
04B8692D,UK PLC,Intercompany,IT,135592.49,CNY,0.1471,19945.66,USD,2024-04-05,2024-06-13,4188
1D913846,CA Corp,AP,HR,3060.77,CHF,1.1264,3447.65,USD,2025-02-25,2025-05-25,4950
565E7821,AU Pty,Intercompany,HR,8601.26,EUR,1.0932,9402.9,USD,2024-04-03,2024-07-20,4005
16697166,JP Ltd,Intercompany,Logistics,34281.82,JPY,0.0067,229.69,USD,2025-02-16,2025-04-27,4992
E0633BD8,AU Pty,AR,Sales,27957.73,EUR,1.0516,29400.35,USD,2024-12-13,2025-04-04,4869
FEB738AE,DE GmbH,AP,Sales,19871.96,USD,1.0,19871.96,USD,2025-04-11,2025-05-12,4764
D1B61640,UK PLC,AP,Finance,5260.74,AUD,0.7356,3869.8,USD,2025-01-30,2025-04-08,4005
55DFBA12,FR SAS,AP,Logistics,11836.1,JPY,0.0069,81.67,USD,2025-05-03,2025-07-24,4463
4A299B51,FR SAS,Intercompany,Logistics,7146.61,AUD,0.6588,4708.19,USD,2024-04-30,2024-07-25,4367
DFC33BDD,CA Corp,AP,Manufacturing,27392.95,CNY,0.1387,3799.4,USD,2025-03-17,2025-06-20,4121
0614CC4B,US Inc,Intercompany,Manufacturing,9575.33,GBP,1.2575,12040.98,USD,2024-02-21,2024-03-18,4214
C39AC24D,UK PLC,Intercompany,Finance,49748.24,EUR,1.1476,57091.08,USD,2024-11-18,2025-01-03,4636
B3353705,US Inc,Intercompany,Sales,39462.61,CAD,0.7291,28772.19,USD,2024-06-12,2024-07-01,4639
EFBF899D,AU Pty,AR,Finance,64390.27,AUD,0.6815,43881.97,USD,2024-05-02,2024-07-28,4191
BE96C423,DE GmbH,AP,HR,26709.54,CHF,1.1006,29396.52,USD,2024-03-06,2024-05-29,4366
39525D7F,CA Corp,Intercompany,HR,4385.86,CAD,0.7467,3274.92,USD,2025-03-23,2025-06-07,4087
6B988E62,US Inc,AP,HR,43063.39,AUD,0.6987,30088.39,USD,2025-01-19,2025-03-26,4556
1501B97F,US Inc,Intercompany,IT,32436.78,GBP,1.2996,42154.84,USD,2024-04-01,2024-05-02,4199
3D2AB333,UK PLC,AR,HR,26268.54,CNY,0.1486,3903.51,USD,2024-01-24,2024-04-12,4804
72E61D0D,DE GmbH,AP,HR,67094.13,GBP,1.2615,84639.24,USD,2024-07-16,2024-10-24,4937
5F75B49B,US Inc,AP,Logistics,11662.96,CNY,0.1467,1710.96,USD,2024-02-29,2024-04-14,4550
BF439209,AU Pty,AP,Sales,22984.42,USD,1.0,22984.42,USD,2024-08-01,2024-10-07,4046
20064677,DE GmbH,AP,R&D,77470.28,CNY,0.1457,11287.42,USD,2024-09-03,2024-11-12,4223
7CFD68A6,US Inc,AR,R&D,12960.49,USD,1.0,12960.49,USD,2025-02-16,2025-05-13,4826
747ACEFC,CA Corp,AR,R&D,32516.32,USD,1.0,32516.32,USD,2024-11-19,2025-03-17,4135
A2A3D6D1,FR SAS,Intercompany,HR,7679.6,USD,1.0,7679.6,USD,2024-03-09,2024-06-05,4518
EC109AA5,US Inc,AR,Finance,41911.99,EUR,1.0596,44409.94,USD,2025-06-20,2025-10-06,4808
06EA0B7E,US Inc,AP,Finance,17001.48,EUR,1.1425,19424.19,USD,2024-01-02,2024-02-25,4959
4C043F3F,FR SAS,Intercompany,Manufacturing,17587.89,JPY,0.0067,117.84,USD,2024-06-13,2024-07-14,4511
AA1DA581,JP Ltd,AR,R&D,31054.56,EUR,1.0941,33976.79,USD,2025-05-25,2025-08-13,4917
1922CC1E,US Inc,AR,HR,77695.91,CHF,1.1437,88860.81,USD,2024-01-14,2024-04-04,4777
E7B5856D,AU Pty,Intercompany,R&D,9397.94,CAD,0.7223,6788.13,USD,2024-05-25,2024-08-10,4867
95DE12DA,DE GmbH,AP,Manufacturing,22321.36,CAD,0.7944,17732.09,USD,2024-09-13,2024-10-19,4947
855771A6,FR SAS,AR,Manufacturing,32503.04,CNY,0.154,5005.47,USD,2024-04-02,2024-04-29,4332
9A4546D6,AU Pty,AP,Logistics,29042.47,CHF,1.1093,32216.81,USD,2024-12-28,2025-04-14,4826
756405A3,DE GmbH,AR,IT,30432.98,AUD,0.7355,22383.46,USD,2024-03-18,2024-04-27,4744
52AD3F67,CA Corp,AR,HR,22820.24,AUD,0.7222,16480.78,USD,2024-10-15,2024-11-12,4964
A3F2E6C7,US Inc,AP,Manufacturing,21565.09,EUR,1.1318,24407.37,USD,2024-04-24,2024-07-24,4092
B4EC3D21,UK PLC,AP,R&D,13196.43,JPY,0.0069,91.06,USD,2024-11-15,2025-02-14,4437
30AFB893,AU Pty,Intercompany,Finance,19082.0,JPY,0.0075,143.11,USD,2025-06-03,2025-06-19,4664
A80E4E5F,AU Pty,AP,Sales,20731.85,GBP,1.3229,27426.16,USD,2024-11-02,2025-02-26,4330
D5E0E578,US Inc,AR,Finance,22772.39,CHF,1.1426,26019.73,USD,2024-03-01,2024-04-28,4698
E8FAFD69,FR SAS,AP,Logistics,12479.51,CNY,0.1376,1717.18,USD,2024-04-22,2024-06-11,4187
D96FADF1,US Inc,AP,IT,46352.4,AUD,0.7398,34291.51,USD,2024-11-02,2025-01-15,4844
9C17AEAC,US Inc,Intercompany,Finance,18180.91,USD,1.0,18180.91,USD,2024-12-16,2025-04-09,4050
AC40D8F5,US Inc,Intercompany,Manufacturing,21177.27,JPY,0.0065,137.65,USD,2024-12-16,2025-03-09,4591
A9AEEE72,DE GmbH,AR,HR,8635.56,EUR,1.14,9844.54,USD,2024-12-29,2025-02-15,4877
F66D69DF,CA Corp,AP,Finance,277218.71,JPY,0.0071,1968.25,USD,2025-04-23,2025-06-04,4467
74C33BE4,CA Corp,AP,Sales,12222.91,CHF,1.1365,13891.34,USD,2025-04-12,2025-05-12,4178
DF6D8705,AU Pty,AP,R&D,4041.3,GBP,1.3368,5402.41,USD,2024-11-09,2025-02-26,4535
8613948E,JP Ltd,AR,Finance,20799.19,EUR,1.126,23419.89,USD,2024-04-22,2024-07-07,4346
DC25C866,FR SAS,AR,Logistics,30725.44,GBP,1.2822,39396.16,USD,2024-03-22,2024-04-14,4054
E8293ED6,AU Pty,AP,Manufacturing,7634.31,CNY,0.14,1068.8,USD,2025-03-30,2025-05-02,4716
4B17AB56,JP Ltd,AP,IT,59320.5,AUD,0.654,38795.61,USD,2024-05-05,2024-08-11,4245
E661F430,AU Pty,AR,R&D,4352.68,CAD,0.7353,3200.53,USD,2024-02-22,2024-03-19,4836
17638730,JP Ltd,Intercompany,Logistics,3100.67,AUD,0.7484,2320.54,USD,2024-07-10,2024-09-19,4864
889E880A,FR SAS,AP,R&D,107752.71,CNY,0.1414,15236.23,USD,2024-09-03,2024-10-04,4726
015C0DFD,CA Corp,AP,Manufacturing,49410.7,USD,1.0,49410.7,USD,2024-07-16,2024-08-15,4538
5A2DE748,FR SAS,AR,Sales,11379.32,CAD,0.7817,8895.21,USD,2024-03-08,2024-06-06,4367
C3165D41,FR SAS,AP,Logistics,27190.85,JPY,0.007,190.34,USD,2024-04-15,2024-07-23,4862
7B8BC7A2,AU Pty,AR,Finance,85933.53,EUR,1.0856,93289.44,USD,2024-08-05,2024-11-02,4064
F37CF225,AU Pty,Intercompany,IT,44745.11,JPY,0.0074,331.11,USD,2024-06-30,2024-09-12,4241
F9F5F35B,US Inc,Intercompany,Finance,3083.91,JPY,0.0071,21.9,USD,2024-11-15,2025-02-22,4429
4331B2A0,FR SAS,Intercompany,Logistics,11468.96,GBP,1.2988,14895.89,USD,2024-09-11,2024-11-07,4546
D09AA4D5,CA Corp,Intercompany,HR,108003.71,AUD,0.7004,75645.8,USD,2024-06-09,2024-08-24,4667
4B7B4A9A,JP Ltd,AR,Logistics,37701.46,GBP,1.3202,49773.47,USD,2024-10-09,2025-01-31,4371
FEB7DE64,JP Ltd,AP,Sales,23670.67,CNY,0.1499,3548.23,USD,2025-01-07,2025-05-07,4988
5EDF5281,US Inc,AP,Sales,33871.92,EUR,1.1496,38939.16,USD,2024-12-17,2025-03-31,4753
CF83AFCA,UK PLC,Intercompany,R&D,36850.35,EUR,1.0878,40085.81,USD,2025-01-08,2025-03-13,4181
F7613DBD,AU Pty,AR,Manufacturing,16029.46,GBP,1.2836,20575.41,USD,2024-08-24,2024-10-31,4635
22BFE540,DE GmbH,Intercompany,R&D,3089.01,CHF,1.119,3456.6,USD,2024-09-02,2024-11-19,4662
5EA1C170,UK PLC,AR,Logistics,668.81,CNY,0.1538,102.86,USD,2024-04-06,2024-07-26,4104
5BAABED4,AU Pty,AP,Logistics,36828.61,AUD,0.6981,25710.05,USD,2024-03-07,2024-05-04,4189
19BC4251,US Inc,Intercompany,Logistics,8146.97,EUR,1.1202,9126.24,USD,2024-03-13,2024-04-10,4835
55842D0B,FR SAS,AR,R&D,8107.97,JPY,0.0074,60.0,USD,2024-12-20,2025-03-23,4591
1D701383,CA Corp,AP,Finance,77245.54,USD,1.0,77245.54,USD,2024-08-08,2024-10-19,4105
FBAE0FC4,CA Corp,Intercompany,Logistics,23787.53,JPY,0.0067,159.38,USD,2024-04-05,2024-04-23,4464
3B2372BE,US Inc,AP,Sales,139193.57,JPY,0.0069,960.44,USD,2025-04-05,2025-07-29,4905
ABD57652,UK PLC,Intercompany,HR,25373.79,USD,1.0,25373.79,USD,2025-03-23,2025-04-24,4629
919228D5,JP Ltd,Intercompany,Sales,3761.32,CHF,1.0634,3999.79,USD,2025-02-14,2025-05-17,4473
39D6C0BB,JP Ltd,AP,Logistics,7437.49,CNY,0.1499,1114.88,USD,2025-03-06,2025-04-17,4871
D654C93E,FR SAS,AP,R&D,27074.13,AUD,0.691,18708.22,USD,2024-03-03,2024-05-12,4175
CE29EC75,US Inc,AR,Sales,178685.83,USD,1.0,178685.83,USD,2024-08-19,2024-11-25,4900
F8F90F6D,JP Ltd,Intercompany,Manufacturing,14800.3,CHF,1.1234,16626.66,USD,2024-05-10,2024-06-05,4308
070A65DB,AU Pty,Intercompany,R&D,48922.24,CAD,0.7803,38174.02,USD,2024-06-08,2024-07-27,4541
469FF148,AU Pty,AR,Sales,10553.27,CHF,1.097,11576.94,USD,2024-10-30,2025-01-13,4582
6532EF03,DE GmbH,AR,Manufacturing,19977.96,CHF,1.0918,21811.94,USD,2025-01-09,2025-02-06,4443
642A8F6F,FR SAS,AP,IT,18381.02,CNY,0.1411,2593.56,USD,2024-07-28,2024-09-19,4413
AD3782F8,FR SAS,AP,Logistics,54351.46,EUR,1.0812,58764.8,USD,2025-01-30,2025-05-21,4657
89254B64,US Inc,AR,Finance,24294.56,JPY,0.0069,167.63,USD,2024-03-02,2024-06-27,4979
81B41AB6,DE GmbH,Intercompany,R&D,47269.62,CAD,0.8101,38293.12,USD,2024-01-17,2024-04-07,4044
707F62E0,DE GmbH,Intercompany,R&D,13150.96,USD,1.0,13150.96,USD,2024-05-22,2024-07-18,4045
467574F4,AU Pty,Intercompany,HR,66774.11,AUD,0.7147,47723.46,USD,2024-09-11,2024-10-27,4184
F0EDBD73,UK PLC,AR,Manufacturing,9970.36,AUD,0.6675,6655.22,USD,2024-09-08,2024-11-23,4848
032A2D51,US Inc,Intercompany,IT,27043.74,EUR,1.0591,28642.03,USD,2025-02-22,2025-05-24,4646
C4CEF2DB,AU Pty,Intercompany,IT,25637.3,AUD,0.6712,17207.76,USD,2024-02-17,2024-04-16,4942
7B041202,US Inc,Intercompany,Sales,11855.76,USD,1.0,11855.76,USD,2024-11-12,2024-12-25,4854
A59AE5DE,CA Corp,AP,R&D,29943.95,CNY,0.1465,4386.79,USD,2025-02-05,2025-05-16,4289
A135E51A,US Inc,AR,Sales,68486.22,CNY,0.1404,9615.47,USD,2025-06-15,2025-09-18,4532
DFE044AA,AU Pty,Intercompany,Finance,22179.76,GBP,1.3102,29059.92,USD,2024-12-13,2025-02-20,4324
4C770F1E,CA Corp,Intercompany,R&D,64947.94,JPY,0.0066,428.66,USD,2024-11-10,2024-12-22,4533
04697DCA,JP Ltd,Intercompany,Logistics,54084.57,GBP,1.2646,68395.35,USD,2024-04-12,2024-07-16,4507
43179B61,AU Pty,Intercompany,IT,7992.06,JPY,0.0067,53.55,USD,2025-03-03,2025-06-11,4798
DAD4ED08,UK PLC,AP,IT,26796.43,EUR,1.0966,29384.97,USD,2024-09-18,2025-01-06,4534
0B22A8B9,DE GmbH,Intercompany,R&D,15498.32,AUD,0.6963,10791.48,USD,2024-07-07,2024-10-17,4066
9A7B5F22,AU Pty,Intercompany,HR,46513.35,CAD,0.7283,33875.67,USD,2024-09-17,2024-12-18,4754
A3D1851F,CA Corp,AP,Manufacturing,65639.81,CHF,1.1466,75262.61,USD,2024-11-06,2025-02-22,4016
6EF90778,DE GmbH,Intercompany,R&D,42246.37,CAD,0.8159,34468.81,USD,2024-06-07,2024-07-22,4976
56C8E077,US Inc,Intercompany,IT,39699.8,CHF,1.0782,42804.32,USD,2025-06-04,2025-06-23,4140
412C8E43,CA Corp,AR,Finance,121429.07,CNY,0.1386,16830.07,USD,2024-11-30,2025-03-13,4436
87FE1999,FR SAS,AP,Sales,11348.08,CHF,1.0983,12463.6,USD,2024-08-19,2024-09-27,4586
DD4A158C,FR SAS,AP,Manufacturing,10025.23,USD,1.0,10025.23,USD,2025-03-08,2025-05-15,4333
992AC6AA,UK PLC,AP,HR,12034.8,GBP,1.2594,15156.63,USD,2025-01-25,2025-05-21,4685
68B4552F,UK PLC,AP,HR,11228.59,JPY,0.0066,74.11,USD,2024-05-29,2024-07-06,4912
6FC09B42,US Inc,AR,Finance,26284.58,CNY,0.1494,3926.92,USD,2025-04-18,2025-06-04,4771
893D7B7F,CA Corp,AR,IT,77108.66,EUR,1.0684,82382.89,USD,2025-04-08,2025-07-31,4273
74995E00,US Inc,AP,Logistics,14939.69,JPY,0.0067,100.1,USD,2024-10-13,2025-01-14,4633
F45E6C92,DE GmbH,AR,IT,28790.06,USD,1.0,28790.06,USD,2024-11-17,2025-01-03,4715
C152E690,JP Ltd,AP,R&D,89096.84,GBP,1.303,116093.18,USD,2025-01-15,2025-04-07,4752
D6A07FC8,US Inc,AP,Manufacturing,30645.03,CAD,0.7409,22704.9,USD,2025-03-17,2025-06-30,4417
F2DFC1B0,US Inc,AP,Finance,22188.63,EUR,1.1216,24886.77,USD,2024-05-10,2024-06-18,4619
3E940E3E,CA Corp,AP,HR,18232.2,USD,1.0,18232.2,USD,2025-01-08,2025-01-24,4690
1F18676C,AU Pty,AR,HR,24895.14,AUD,0.6688,16649.87,USD,2025-05-11,2025-06-08,4113
3A8465E1,US Inc,AR,R&D,16422.95,EUR,1.059,17391.9,USD,2025-05-20,2025-08-15,4174
7EC4B982,UK PLC,AP,HR,16183.05,AUD,0.6728,10887.96,USD,2024-08-29,2024-10-04,4731
5BD97A50,UK PLC,AR,Logistics,9507.7,AUD,0.6762,6429.11,USD,2025-05-26,2025-08-18,4253
D481B1F1,US Inc,AP,R&D,20400.87,USD,1.0,20400.87,USD,2024-10-22,2025-01-03,4298
40A0161C,AU Pty,AP,IT,26864.77,JPY,0.0066,177.31,USD,2025-03-09,2025-06-25,4956
7733778F,DE GmbH,AR,R&D,200709.95,USD,1.0,200709.95,USD,2024-02-07,2024-05-23,4026
3C609DDD,FR SAS,AR,IT,2867.19,JPY,0.0068,19.5,USD,2025-01-16,2025-04-29,4975
9EAB9AA8,FR SAS,AP,Sales,152152.26,JPY,0.007,1065.07,USD,2024-01-07,2024-04-30,4699
CBECEF75,CA Corp,AP,Finance,19776.11,CAD,0.7287,14410.85,USD,2024-02-05,2024-04-10,4531
42A0ACB0,US Inc,Intercompany,Sales,9927.72,EUR,1.1395,11312.64,USD,2025-03-22,2025-06-25,4422
EB4E7FF0,US Inc,Intercompany,Sales,3433.86,EUR,1.1309,3883.35,USD,2025-02-23,2025-06-17,4664
937D5195,DE GmbH,AP,Manufacturing,7999.7,CAD,0.8021,6416.56,USD,2024-01-27,2024-05-22,4603
03616E50,FR SAS,AP,Logistics,19366.09,CNY,0.1378,2668.65,USD,2025-03-31,2025-07-24,4511
10CBC544,FR SAS,AR,Sales,12337.2,CAD,0.7769,9584.77,USD,2025-03-16,2025-04-15,4632
28E85712,AU Pty,AP,Finance,5267.43,JPY,0.0073,38.45,USD,2025-01-03,2025-03-22,4877
5E3AC286,US Inc,AP,Finance,30073.13,GBP,1.2876,38722.16,USD,2025-05-30,2025-07-24,4704
4845FF3C,DE GmbH,AR,Manufacturing,191571.86,CNY,0.1448,27739.61,USD,2024-09-27,2024-12-05,4236
D43D2FFB,CA Corp,AR,R&D,53029.78,GBP,1.2781,67777.36,USD,2025-04-17,2025-06-24,4490
3D06599B,US Inc,Intercompany,R&D,23953.87,AUD,0.7164,17160.55,USD,2024-02-22,2024-04-15,4461
F6D5A253,DE GmbH,AR,R&D,55688.91,JPY,0.0066,367.55,USD,2024-04-20,2024-06-03,4871
3381ED73,DE GmbH,AP,Sales,9445.46,EUR,1.1045,10432.51,USD,2024-01-22,2024-03-15,4856
2552BAE4,US Inc,AP,Manufacturing,24106.19,USD,1.0,24106.19,USD,2024-12-13,2025-02-19,4908
367BD342,JP Ltd,Intercompany,HR,67335.45,EUR,1.1461,77173.16,USD,2024-05-06,2024-07-23,4989
1DD52305,FR SAS,AR,Sales,4458.69,JPY,0.0072,32.1,USD,2024-12-13,2025-03-14,4356
650B955A,CA Corp,AR,R&D,62777.17,USD,1.0,62777.17,USD,2024-04-30,2024-07-01,4304
7F8DE77C,CA Corp,AR,Manufacturing,22110.38,JPY,0.0071,156.98,USD,2024-05-17,2024-07-22,4951
5F67B422,DE GmbH,AP,Sales,5123.34,CNY,0.136,696.77,USD,2024-04-25,2024-07-22,4103
96D3D346,CA Corp,Intercompany,IT,11219.03,JPY,0.0068,76.29,USD,2024-10-26,2024-12-01,4434
8D6E8E0F,CA Corp,AP,Manufacturing,6881.93,CAD,0.7508,5166.95,USD,2024-12-10,2025-01-13,4663
EA18609D,AU Pty,Intercompany,Logistics,56075.35,CNY,0.1392,7805.69,USD,2025-06-16,2025-07-16,4737
93BEC6F1,JP Ltd,Intercompany,IT,38573.56,GBP,1.3093,50504.36,USD,2025-03-02,2025-05-15,4379
9E0BFA40,AU Pty,AP,Finance,14880.26,USD,1.0,14880.26,USD,2024-03-13,2024-04-06,4164
B97F1948,CA Corp,AR,R&D,7484.28,GBP,1.3195,9875.51,USD,2025-01-25,2025-04-22,4049
6F0E68A0,DE GmbH,AP,IT,196319.35,GBP,1.3026,255725.59,USD,2025-04-14,2025-07-17,4388
1E63A374,JP Ltd,AR,Manufacturing,81464.18,JPY,0.0067,545.81,USD,2024-04-22,2024-06-13,4869
4AA31C4C,DE GmbH,AR,R&D,8184.74,CHF,1.0675,8737.21,USD,2024-05-04,2024-05-22,4455
86D68032,FR SAS,AR,Sales,20906.41,CHF,1.1211,23438.18,USD,2024-02-02,2024-03-24,4948
371BD015,JP Ltd,AP,Sales,48137.58,EUR,1.1198,53904.46,USD,2024-08-20,2024-09-14,4537
6E41C566,US Inc,AR,Logistics,8464.44,GBP,1.3468,11399.91,USD,2024-11-14,2025-02-01,4845
8BE65A88,CA Corp,AP,HR,13914.08,USD,1.0,13914.08,USD,2025-06-01,2025-08-24,4367
826779C5,AU Pty,Intercompany,Finance,6901.82,CAD,0.7563,5219.85,USD,2024-10-28,2024-11-27,4199
DB1AB31A,DE GmbH,AR,Finance,42464.26,EUR,1.0924,46387.96,USD,2024-10-13,2024-12-05,4650
E5FF8A42,UK PLC,AR,HR,13924.57,CNY,0.149,2074.76,USD,2024-08-04,2024-10-01,4080
B8321991,UK PLC,AP,Logistics,44591.49,CHF,1.0822,48256.91,USD,2024-10-12,2025-02-03,4498
5897B33F,AU Pty,AP,Manufacturing,4636.06,CHF,1.1456,5311.07,USD,2025-05-22,2025-06-13,4487
E8256F10,DE GmbH,AR,Manufacturing,53664.01,CNY,0.1392,7470.03,USD,2024-01-15,2024-03-30,4673
6E0FDF4E,AU Pty,Intercompany,HR,45995.8,AUD,0.708,32565.03,USD,2024-05-15,2024-08-12,4263
B9E4929A,US Inc,AP,Finance,20896.47,USD,1.0,20896.47,USD,2025-01-27,2025-05-07,4155
630278BB,JP Ltd,AR,Logistics,28203.47,USD,1.0,28203.47,USD,2025-05-31,2025-09-28,4066
E295836C,AU Pty,AP,Manufacturing,54827.51,CHF,1.0573,57969.13,USD,2024-04-07,2024-07-31,4325
F9FA4436,UK PLC,AR,Sales,7446.43,USD,1.0,7446.43,USD,2025-03-17,2025-04-30,4960
812415B2,JP Ltd,AP,R&D,19041.15,USD,1.0,19041.15,USD,2024-11-15,2024-12-20,4744
