Invoice_ID,Entity,Type,Business_Unit,Amount_FCY,Currency,FX_Rate,Amount_USD,Functional_Currency,Transaction_Date,Due_Date,GL_Code
C674A45C,US Inc,AR,Manufacturing,5369.76,AUD,0.7082,3802.86,USD,2025-06-05,2025-07-23,4534
E72ADEED,AU Pty,Intercompany,R&D,44284.66,CAD,0.792,35073.45,USD,2025-05-27,2025-07-14,4260
5A716129,FR SAS,AR,IT,39841.25,GBP,1.2993,51765.74,USD,2025-06-06,2025-07-02,4473
1E26B8BD,US Inc,Intercompany,R&D,71842.84,CAD,0.7238,51999.85,USD,2025-05-31,2025-07-15,4627
81FE0BC9,AU Pty,Intercompany,R&D,128486.77,JPY,0.0075,963.65,USD,2025-05-16,2025-07-27,4045
FABE1C50,AU Pty,Intercompany,Manufacturing,4695.78,JPY,0.007,32.87,USD,2025-06-09,2025-07-19,4518
BB8E96D0,UK PLC,Intercompany,HR,13290.83,JPY,0.0067,89.05,USD,2025-06-29,2025-09-27,4397
F63789F0,US Inc,AR,Sales,26025.63,AUD,0.6626,17244.58,USD,2025-05-28,2025-06-28,4103
097AB8B5,US Inc,AP,HR,14823.2,AUD,0.7046,10444.43,USD,2025-06-03,2025-07-05,4147
ADF7426C,DE GmbH,AP,HR,14163.42,CHF,1.143,16188.79,USD,2025-06-23,2025-09-17,4229
A6CB6656,FR SAS,AP,Logistics,9360.95,CNY,0.1355,1268.41,USD,2025-06-24,2025-08-26,4713
B8F236D6,UK PLC,AR,Manufacturing,63235.34,GBP,1.2926,81738.0,USD,2025-05-15,2025-08-08,4097
8EC65658,UK PLC,AP,Sales,23163.6,CHF,1.111,25734.76,USD,2025-06-24,2025-08-13,4063
0F27097C,JP Ltd,AR,IT,7617.83,AUD,0.6674,5084.14,USD,2025-06-20,2025-09-06,4797
36AC033C,CA Corp,Intercompany,Sales,28188.48,CAD,0.768,21648.75,USD,2025-05-13,2025-07-02,4488
13269B17,US Inc,AR,IT,39377.84,CAD,0.7747,30506.01,USD,2025-06-24,2025-08-24,4109
90CD89FD,FR SAS,Intercompany,R&D,45433.95,CAD,0.7235,32871.46,USD,2025-05-05,2025-07-02,4070
27DA795C,AU Pty,Intercompany,Sales,1666.57,CAD,0.8145,1357.42,USD,2025-05-14,2025-08-12,4299
95AD5EDB,AU Pty,AP,Finance,14285.01,JPY,0.0071,101.42,USD,2025-06-09,2025-08-22,4168
4F4118FE,JP Ltd,AR,Manufacturing,5310.39,JPY,0.0073,38.77,USD,2025-06-13,2025-08-09,4361
4DAF1F75,CA Corp,Intercompany,Manufacturing,7635.38,AUD,0.7488,5717.37,USD,2025-06-17,2025-08-01,4464
25E38643,AU Pty,AP,Sales,7299.19,EUR,1.0805,7886.77,USD,2025-05-26,2025-07-23,4537
4A932333,AU Pty,AR,Finance,6289.54,CAD,0.8015,5041.07,USD,2025-06-04,2025-07-14,4176
1041FFAD,CA Corp,Intercompany,Sales,30217.36,CHF,1.0857,32806.99,USD,2025-05-28,2025-08-23,4227
042C464A,US Inc,Intercompany,Sales,29996.13,GBP,1.3225,39669.88,USD,2025-05-07,2025-07-25,4496
61894DCA,AU Pty,Intercompany,Finance,24339.76,EUR,1.1473,27925.01,USD,2025-06-17,2025-07-12,4818
986AE905,DE GmbH,AR,R&D,33802.32,GBP,1.2658,42786.98,USD,2025-05-30,2025-08-14,4511
E6DFE21A,UK PLC,Intercompany,IT,56162.64,EUR,1.0977,61649.73,USD,2025-06-08,2025-07-29,4870
8668309B,US Inc,AP,HR,72311.9,USD,1.0,72311.9,USD,2025-06-07,2025-08-07,4638
8EDFE536,DE GmbH,Intercompany,HR,13818.54,AUD,0.6541,9038.71,USD,2025-05-22,2025-06-23,4862
6E5CF7A9,JP Ltd,Intercompany,R&D,11106.85,EUR,1.1143,12376.36,USD,2025-06-02,2025-07-18,4201
45B2DA3A,CA Corp,AR,Finance,39482.11,JPY,0.0067,264.53,USD,2025-06-14,2025-08-10,4459
DF791D99,UK PLC,Intercompany,IT,105787.0,GBP,1.2779,135185.21,USD,2025-06-19,2025-08-08,4669
30C90D7A,JP Ltd,AR,Manufacturing,4628.01,JPY,0.0071,32.86,USD,2025-06-07,2025-08-09,4196
B1C83CDA,JP Ltd,AP,Manufacturing,21296.96,AUD,0.7302,15551.04,USD,2025-06-13,2025-08-30,4647
39D29AE4,FR SAS,AR,Logistics,44194.31,JPY,0.0065,287.26,USD,2025-06-16,2025-09-05,4854
00303846,CA Corp,Intercompany,Finance,52153.9,CNY,0.152,7927.39,USD,2025-05-08,2025-05-28,4514
843DB344,DE GmbH,AR,Finance,13441.27,AUD,0.7167,9633.36,USD,2025-05-06,2025-05-31,4230
85EF2F60,DE GmbH,AR,Finance,16908.5,USD,1.0,16908.5,USD,2025-05-04,2025-07-26,4121
BBC6D78D,FR SAS,AP,R&D,58463.99,CNY,0.1451,8483.12,USD,2025-05-13,2025-07-22,4215
54034E3C,UK PLC,Intercompany,HR,26622.83,JPY,0.0066,175.71,USD,2025-06-15,2025-07-14,4798
A14A949A,FR SAS,AP,Finance,9653.43,AUD,0.7266,7014.18,USD,2025-05-05,2025-05-30,4931
CD7A5CBE,JP Ltd,Intercompany,Finance,8029.84,CAD,0.7228,5803.97,USD,2025-05-09,2025-07-05,4304
0155B682,AU Pty,AR,Manufacturing,42253.76,JPY,0.0074,312.68,USD,2025-05-03,2025-07-05,4736
2934275D,CA Corp,AP,Finance,9926.58,JPY,0.0065,64.52,USD,2025-05-11,2025-06-18,4193
485A11A7,US Inc,Intercompany,Sales,13023.0,AUD,0.6976,9084.84,USD,2025-05-17,2025-07-02,4207
6E4DEF77,FR SAS,AP,Manufacturing,113295.69,AUD,0.7407,83918.12,USD,2025-06-10,2025-07-17,4198
F7AC2E32,UK PLC,Intercompany,Manufacturing,85062.62,CHF,1.0867,92437.55,USD,2025-05-19,2025-06-06,4748
E3372E08,CA Corp,AR,IT,58978.61,JPY,0.0066,389.26,USD,2025-06-01,2025-08-26,4614
F0F7489A,AU Pty,Intercompany,Logistics,171522.28,GBP,1.2647,216924.23,USD,2025-05-25,2025-07-20,4414
1147EF83,US Inc,AP,IT,8819.2,CNY,0.1493,1316.71,USD,2025-05-28,2025-06-14,4629
9ED81067,DE GmbH,AP,Logistics,7094.24,CNY,0.1398,991.77,USD,2025-05-26,2025-06-14,4871
3F357B89,CA Corp,AP,Logistics,150988.85,USD,1.0,150988.85,USD,2025-05-20,2025-08-12,4533
0ECD0F18,DE GmbH,Intercompany,HR,27987.41,GBP,1.2825,35893.85,USD,2025-06-01,2025-08-20,4747
6AEF69BB,AU Pty,AR,Sales,4955.31,CAD,0.7383,3658.51,USD,2025-05-29,2025-07-31,4028
1A1A97DA,CA Corp,AP,Logistics,10102.74,JPY,0.0073,73.75,USD,2025-05-28,2025-07-19,4527
F03696E6,AU Pty,AR,Finance,10648.56,USD,1.0,10648.56,USD,2025-06-06,2025-06-23,4856
58BD74F5,CA Corp,AP,Finance,23006.15,USD,1.0,23006.15,USD,2025-05-01,2025-07-18,4203
0B6B1BE4,AU Pty,AR,Sales,13453.17,EUR,1.1255,15141.54,USD,2025-05-23,2025-08-10,4816
6CB495E1,JP Ltd,AP,Manufacturing,21256.04,EUR,1.1396,24223.38,USD,2025-06-05,2025-08-12,4454
09670E1B,JP Ltd,Intercompany,HR,10626.57,GBP,1.3183,14009.01,USD,2025-06-04,2025-08-06,4867
7C73B9DC,JP Ltd,AP,Sales,5127.52,JPY,0.0071,36.41,USD,2025-05-26,2025-06-10,4166
14FC1FB0,AU Pty,AP,Sales,76003.88,EUR,1.0613,80662.92,USD,2025-06-24,2025-09-05,4832
E6EA641A,CA Corp,AP,IT,90930.43,AUD,0.6987,63533.09,USD,2025-05-12,2025-06-30,4736
0966EA91,DE GmbH,AP,Finance,18252.6,USD,1.0,18252.6,USD,2025-06-02,2025-07-08,4684
CAEEC046,US Inc,Intercompany,R&D,26842.96,JPY,0.0066,177.16,USD,2025-06-15,2025-07-13,4310
61C3E8F5,AU Pty,AR,Sales,79409.98,AUD,0.7016,55714.04,USD,2025-06-17,2025-08-02,4480
9DB85EB8,JP Ltd,AP,Finance,13463.82,USD,1.0,13463.82,USD,2025-06-09,2025-07-26,4536
DA90972B,CA Corp,Intercompany,Finance,76980.12,CHF,1.0799,83130.83,USD,2025-05-06,2025-07-09,4741
CEF27B66,FR SAS,AR,R&D,10670.07,CNY,0.1469,1567.43,USD,2025-06-14,2025-08-07,4063
C0B6FFD8,FR SAS,AR,R&D,15971.5,CHF,1.0784,17223.67,USD,2025-05-30,2025-08-05,4125
624E1C87,CA Corp,Intercompany,R&D,47914.11,CHF,1.1282,54056.7,USD,2025-05-02,2025-07-16,4095
06BE7317,UK PLC,AP,Logistics,5858.82,AUD,0.6529,3825.22,USD,2025-05-28,2025-07-15,4708
8AF57A5E,AU Pty,AR,Finance,44296.51,CAD,0.7478,33124.93,USD,2025-05-12,2025-07-06,4537
178ABCD4,UK PLC,Intercompany,Sales,44893.21,CHF,1.1173,50159.18,USD,2025-06-14,2025-08-14,4049
70C9EDB7,DE GmbH,Intercompany,Finance,12722.76,AUD,0.6517,8291.42,USD,2025-06-04,2025-08-17,4615
DF004B76,AU Pty,AR,Finance,46215.97,EUR,1.1445,52894.18,USD,2025-05-27,2025-07-23,4334
B58369BE,UK PLC,Intercompany,HR,33178.16,CNY,0.1537,5099.48,USD,2025-05-10,2025-08-01,4669
D8ECE7A5,AU Pty,AP,Manufacturing,40758.7,GBP,1.3368,54486.23,USD,2025-06-19,2025-08-25,4293
8653B033,CA Corp,AR,R&D,40048.91,EUR,1.1438,45807.94,USD,2025-05-29,2025-08-03,4045
2BD5211B,UK PLC,Intercompany,Finance,15278.34,CAD,0.8167,12477.82,USD,2025-05-02,2025-06-25,4635
19799264,UK PLC,AR,HR,41052.0,AUD,0.6554,26905.48,USD,2025-06-03,2025-07-31,4629
9EF3DDAF,JP Ltd,AP,Finance,25724.97,CNY,0.1374,3534.61,USD,2025-06-25,2025-08-20,4023
4786E905,UK PLC,AR,Sales,59815.26,GBP,1.2604,75391.15,USD,2025-05-31,2025-07-10,4480
A67F1ADF,FR SAS,Intercompany,R&D,31125.9,CHF,1.0759,33488.36,USD,2025-05-08,2025-07-23,4126
AD3BEA9D,CA Corp,AR,Logistics,32285.34,CHF,1.1183,36104.7,USD,2025-05-20,2025-07-28,4285
1F7D5D84,JP Ltd,AP,IT,43366.89,USD,1.0,43366.89,USD,2025-06-19,2025-07-25,4875
4E580BD5,AU Pty,Intercompany,Manufacturing,11498.35,JPY,0.0071,81.64,USD,2025-05-06,2025-06-13,4245
277E84D4,CA Corp,AR,R&D,29726.74,USD,1.0,29726.74,USD,2025-05-02,2025-07-23,4188
48BBF70D,JP Ltd,Intercompany,Manufacturing,64238.27,EUR,1.0877,69871.97,USD,2025-05-06,2025-07-18,4046
55AE5300,JP Ltd,AR,Finance,31852.82,EUR,1.1351,36156.14,USD,2025-06-11,2025-08-21,4437
9CD00A7E,FR SAS,AR,Sales,13155.07,CHF,1.0855,14279.83,USD,2025-05-16,2025-06-03,4282
8F63993E,US Inc,AR,Finance,34936.44,USD,1.0,34936.44,USD,2025-05-09,2025-06-02,4246
E4BD718C,US Inc,AR,Finance,43240.79,CAD,0.8101,35029.36,USD,2025-05-09,2025-06-27,4983
62573122,AU Pty,AP,Manufacturing,44101.32,CHF,1.1031,48648.17,USD,2025-05-28,2025-08-03,4563
8AD72B77,FR SAS,AR,IT,42863.31,JPY,0.0067,287.18,USD,2025-06-22,2025-09-09,4596
5C8133EE,UK PLC,AP,Finance,62031.47,CAD,0.7991,49569.35,USD,2025-05-11,2025-07-09,4591
6E8B9D57,AU Pty,Intercompany,Logistics,48652.4,GBP,1.2692,61749.63,USD,2025-06-27,2025-08-29,4113
75141589,CA Corp,AP,R&D,16021.95,CAD,0.7449,11934.75,USD,2025-06-22,2025-09-17,4323
8CC0454F,DE GmbH,AP,Logistics,15547.59,JPY,0.0073,113.5,USD,2025-05-18,2025-08-15,4243
78112678,AU Pty,AP,R&D,85684.06,GBP,1.3282,113805.57,USD,2025-06-21,2025-09-11,4601
DF1DF545,AU Pty,AP,R&D,5480.88,USD,1.0,5480.88,USD,2025-06-16,2025-08-27,4669
6F500C19,DE GmbH,Intercompany,R&D,93353.72,AUD,0.7209,67298.7,USD,2025-05-01,2025-06-10,4395
8E143706,CA Corp,AR,IT,107021.99,CAD,0.7451,79742.08,USD,2025-06-10,2025-07-29,4297
28E7661C,US Inc,AP,Sales,12202.5,JPY,0.0075,91.52,USD,2025-05-11,2025-06-07,4559
A7F6038C,DE GmbH,AP,R&D,64167.8,JPY,0.0072,462.01,USD,2025-05-24,2025-07-17,4753
26DE7233,JP Ltd,AR,Manufacturing,28258.17,USD,1.0,28258.17,USD,2025-06-14,2025-08-31,4925
A3081A2C,DE GmbH,Intercompany,Sales,4779.64,AUD,0.6786,3243.46,USD,2025-05-24,2025-07-17,4779
E45B1F7C,UK PLC,AR,IT,34089.83,CNY,0.1369,4666.9,USD,2025-05-11,2025-06-10,4521
5155E5AE,DE GmbH,Intercompany,IT,14328.17,JPY,0.0072,103.16,USD,2025-06-27,2025-08-13,4182
7A060BAA,CA Corp,AP,Finance,195951.99,CAD,0.8105,158819.09,USD,2025-06-13,2025-07-08,4112
58D1803D,DE GmbH,AP,HR,20311.04,JPY,0.007,142.18,USD,2025-06-05,2025-08-14,4119
6C85EE89,US Inc,Intercompany,IT,30003.32,USD,1.0,30003.32,USD,2025-06-04,2025-07-14,4940
A32ED4DD,US Inc,AR,Finance,68779.89,JPY,0.0069,474.58,USD,2025-06-21,2025-08-03,4401
8699D573,JP Ltd,AP,Finance,81766.2,JPY,0.0071,580.54,USD,2025-06-10,2025-06-28,4285
39A8C58F,JP Ltd,AR,Finance,10084.14,CHF,1.0849,10940.28,USD,2025-05-09,2025-06-07,4307
81B58D06,UK PLC,Intercompany,Manufacturing,47111.01,CHF,1.0948,51577.13,USD,2025-06-04,2025-07-20,4551
9CF9F374,DE GmbH,AR,IT,6262.39,CAD,0.7389,4627.28,USD,2025-06-12,2025-09-05,4629
C901F8C9,US Inc,AP,Logistics,21892.89,CNY,0.1496,3275.18,USD,2025-05-03,2025-05-31,4711
408DCFEA,UK PLC,AP,Manufacturing,13556.63,USD,1.0,13556.63,USD,2025-06-25,2025-09-21,4402
44A71353,FR SAS,AR,Logistics,26645.67,CNY,0.1481,3946.22,USD,2025-05-01,2025-06-19,4379
42D7D12A,JP Ltd,Intercompany,Manufacturing,43018.04,AUD,0.6728,28942.54,USD,2025-06-06,2025-07-17,4427
E5673507,JP Ltd,AR,HR,41577.01,JPY,0.0074,307.67,USD,2025-06-30,2025-07-15,4564
0C47C077,CA Corp,AR,Manufacturing,21687.76,AUD,0.7324,15884.12,USD,2025-05-04,2025-07-18,4988
D64AB485,UK PLC,Intercompany,Manufacturing,10374.49,CHF,1.1248,11669.23,USD,2025-05-15,2025-08-10,4872
87C3C797,JP Ltd,Intercompany,Manufacturing,11285.59,GBP,1.3476,15208.46,USD,2025-06-02,2025-06-26,4487
E16AB0F2,DE GmbH,AP,Finance,74336.73,CAD,0.7874,58532.74,USD,2025-05-14,2025-06-30,4077
F99956C7,UK PLC,AP,R&D,20797.65,EUR,1.1248,23393.2,USD,2025-06-10,2025-08-25,4390
808C69BF,FR SAS,Intercompany,HR,22801.9,USD,1.0,22801.9,USD,2025-06-21,2025-07-19,4441
EC288565,UK PLC,AP,R&D,134497.84,AUD,0.6851,92144.47,USD,2025-06-18,2025-08-30,4133
58255710,FR SAS,Intercompany,R&D,7727.44,AUD,0.7025,5428.53,USD,2025-06-16,2025-07-17,4266
4D5A0008,JP Ltd,AR,Manufacturing,48733.28,CNY,0.1376,6705.7,USD,2025-05-02,2025-07-02,4917
D6C4786E,UK PLC,AR,Logistics,10208.32,CHF,1.0859,11085.21,USD,2025-05-19,2025-08-15,4570
08E6A203,UK PLC,Intercompany,Sales,9550.24,USD,1.0,9550.24,USD,2025-06-14,2025-08-24,4366
54C9FEF9,FR SAS,AR,Finance,29747.22,USD,1.0,29747.22,USD,2025-06-29,2025-08-17,4913
064C1A57,UK PLC,Intercompany,R&D,33667.85,CAD,0.7844,26409.06,USD,2025-06-12,2025-08-25,4609
B6769473,DE GmbH,AP,Sales,5456.36,AUD,0.7389,4031.7,USD,2025-06-22,2025-09-11,4714
B685D679,AU Pty,AP,HR,15018.89,GBP,1.2913,19393.89,USD,2025-05-23,2025-08-20,4601
E5FCB04F,AU Pty,AR,R&D,28822.98,CAD,0.7525,21689.29,USD,2025-05-24,2025-08-21,4522
5A35B57A,FR SAS,AR,R&D,23732.06,AUD,0.7465,17715.98,USD,2025-05-25,2025-06-27,4427
4995B2BF,UK PLC,AR,Logistics,159436.85,CHF,1.0715,170836.58,USD,2025-05-15,2025-06-18,4517
7930A03E,DE GmbH,AP,IT,13733.66,CAD,0.797,10945.73,USD,2025-05-22,2025-07-20,4021
A670DACC,AU Pty,AP,IT,39415.51,EUR,1.0932,43089.04,USD,2025-05-10,2025-06-24,4082
E682EDFF,JP Ltd,AP,Finance,17167.83,USD,1.0,17167.83,USD,2025-05-11,2025-07-12,4563
48B0DE01,FR SAS,Intercompany,Sales,5281.72,AUD,0.701,3702.49,USD,2025-06-08,2025-07-26,4895
8D614104,DE GmbH,AP,Finance,9630.74,EUR,1.1249,10833.62,USD,2025-05-12,2025-07-05,4066
D3F33FF8,CA Corp,AP,Logistics,49196.89,CNY,0.149,7330.34,USD,2025-06-26,2025-08-08,4640
44B158CA,US Inc,AR,IT,24699.87,USD,1.0,24699.87,USD,2025-05-20,2025-07-17,4118
669CC439,AU Pty,Intercompany,Manufacturing,20682.71,GBP,1.3331,27572.12,USD,2025-06-21,2025-08-10,4287
79220902,JP Ltd,Intercompany,Sales,133650.0,CAD,0.7305,97631.33,USD,2025-06-16,2025-07-19,4993
16377E3A,CA Corp,AR,Sales,16774.19,USD,1.0,16774.19,USD,2025-06-28,2025-08-06,4686
61A11E34,FR SAS,AP,Manufacturing,82873.38,AUD,0.7083,58699.22,USD,2025-06-28,2025-09-14,4526
C8170760,JP Ltd,AP,IT,40592.83,CAD,0.7514,30501.45,USD,2025-05-03,2025-05-20,4207
0D3D1A11,US Inc,AP,IT,14956.82,AUD,0.7187,10749.47,USD,2025-06-25,2025-08-21,4475
514DC586,FR SAS,AR,Sales,8543.59,JPY,0.0067,57.24,USD,2025-06-11,2025-08-21,4946
9A6DAAC3,UK PLC,AR,Logistics,6854.66,GBP,1.2636,8661.55,USD,2025-05-19,2025-06-16,4468
ECB67A37,DE GmbH,Intercompany,HR,34846.79,CNY,0.136,4739.16,USD,2025-06-29,2025-08-04,4660
12E95C0A,DE GmbH,AP,Sales,7728.9,JPY,0.0068,52.56,USD,2025-05-04,2025-07-19,4985
5E843665,DE GmbH,Intercompany,IT,210102.38,CHF,1.0905,229116.65,USD,2025-06-23,2025-07-14,4361
71294EFC,UK PLC,Intercompany,Manufacturing,21958.69,CNY,0.1498,3289.41,USD,2025-05-10,2025-06-13,4538
6615A507,CA Corp,AP,IT,46058.06,JPY,0.0065,299.38,USD,2025-06-11,2025-08-14,4206
E331E1AD,AU Pty,AR,Sales,23809.62,USD,1.0,23809.62,USD,2025-05-24,2025-07-22,4450
49912439,CA Corp,Intercompany,R&D,34891.53,JPY,0.0066,230.28,USD,2025-05-26,2025-08-16,4249
C5CD3D01,JP Ltd,AP,R&D,29075.57,JPY,0.0073,212.25,USD,2025-06-13,2025-07-08,4244
8D28F71C,FR SAS,AR,Logistics,99731.49,JPY,0.0074,738.01,USD,2025-05-05,2025-06-16,4321
E2612E01,DE GmbH,AR,HR,17921.73,EUR,1.0849,19443.28,USD,2025-05-30,2025-08-16,4834
8375B5D4,US Inc,AR,Sales,14666.53,CHF,1.1418,16746.24,USD,2025-06-07,2025-07-16,4981
D67ED9AE,JP Ltd,AP,R&D,16835.52,USD,1.0,16835.52,USD,2025-05-16,2025-07-11,4976
675D5EE8,CA Corp,AP,Finance,26255.44,CHF,1.0666,28004.05,USD,2025-05-10,2025-07-01,4609
6AB09139,US Inc,Intercompany,Logistics,25178.32,CAD,0.7634,19221.13,USD,2025-05-02,2025-05-17,4762
B2D19862,DE GmbH,AR,Finance,11517.03,CHF,1.1185,12881.8,USD,2025-05-10,2025-07-09,4076
795C182C,UK PLC,AP,IT,1747.63,GBP,1.2575,2197.64,USD,2025-06-10,2025-07-22,4257
653F225F,UK PLC,AR,Logistics,92317.67,CHF,1.1471,105897.6,USD,2025-06-23,2025-08-11,4754
841FC9C6,AU Pty,AP,R&D,99821.78,GBP,1.3403,133791.13,USD,2025-06-28,2025-09-20,4961
4665A76A,UK PLC,Intercompany,R&D,31506.3,CNY,0.1379,4344.72,USD,2025-05-19,2025-06-11,4002
794C6974,AU Pty,AR,Sales,59089.51,JPY,0.0075,443.17,USD,2025-05-14,2025-08-11,4639
D5080022,US Inc,AR,R&D,56351.36,GBP,1.32,74383.8,USD,2025-06-24,2025-08-20,4481
170334D3,CA Corp,Intercompany,Logistics,47278.22,JPY,0.007,330.95,USD,2025-06-18,2025-08-15,4318
